2% Long Anneal

wavelength (microns), Re(index)
1.06367, 1.4817
1.06367, 1.4817
1.06347, 1.4817
1.06305, 1.48171
1.06262, 1.48171
1.0622, 1.48172
1.06178, 1.48172
1.06135, 1.48173
1.06093, 1.48173
1.06051, 1.48174
1.0602, 1.48174
1.0602, 1.48174
1.06009, 1.48174
1.05967, 1.48175
1.05924, 1.48176
1.05924, 1.48176
1.05882, 1.48176
1.0584, 1.48177
1.05798, 1.48177
1.05756, 1.48178
1.05714, 1.48178
1.05674, 1.48179
1.05674, 1.48179
1.05672, 1.48179
1.0563, 1.48179
1.05589, 1.4818
1.05547, 1.48181
1.05505, 1.48181
1.05463, 1.48182
1.05421, 1.48182
1.0538, 1.48183
1.05338, 1.48183
1.05328, 1.48183
1.05328, 1.48183
1.05296, 1.48184
1.05255, 1.48184
1.05213, 1.48185
1.05172, 1.48186
1.0513, 1.48186
1.05089, 1.48187
1.05047, 1.48187
1.05006, 1.48188
1.04981, 1.48188
1.04981, 1.48188
1.04965, 1.48188
1.04923, 1.48189
1.04882, 1.48189
1.04882, 1.48189
1.04841, 1.4819
1.04799, 1.48191
1.04758, 1.48191
1.04717, 1.48192
1.04676, 1.48192
1.04635, 1.48193
1.04635, 1.48193
1.04635, 1.48193
1.04594, 1.48193
1.04553, 1.48194
1.04512, 1.48194
1.04471, 1.48195
1.0443, 1.48195
1.04389, 1.48196
1.04348, 1.48197
1.04307, 1.48197
1.04289, 1.48197
1.04289, 1.48197
1.04266, 1.48198
1.04225, 1.48198
1.04185, 1.48199
1.04144, 1.48199
1.04103, 1.482
1.04063, 1.482
1.04022, 1.48201
1.03981, 1.48201
1.03943, 1.48202
1.03943, 1.48202
1.03941, 1.48202
1.039, 1.48203
